Smiles,cancer
[Cl-].[Cl-].[Cl-].[67Ga+3],0.0
CC(=O)N[C@@H](CS)C(O)=O,0.0
[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,0.0
[O--].[O--].[O--].[O--].[Fe++].[Fe+3].[Fe+3],1.0
NCCCC(N)(C(F)F)C(O)=O,1.0
[Mg++].[O-]S([O-])(=O)=O,0.0
CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CCC(C)=O,1.0
CC(C)OP(F)(=O)OC(C)C,0.0
CNC(C)CCC=C(C)C,0.0
CCCCCN(C)CCC(O)(P(O)(O)=O)P(O)(O)=O,1.0
[K+].[I-],0.0
[OH-].[OH-].[OH-].[Al+3],0.0
OP(O)(=O)OCC(Cl)(Cl)Cl,0.0
C[N+](C)(C)CC([O-])=O,0.0
[Cl-].[K+],0.0
[NH4+].[Cl-],0.0
OCC(S)CS,0.0
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,0.0
[Fe+3].[Fe+3].[Fe+3].[Fe+3].N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N.N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N.N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N,0.0
[67Ga+3].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,0.0
CCC(C)C(C)(COC(N)=O)COC(N)=O,0.0
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.0
CC(S)C(=O)NCC(O)=O,0.0
NCCS,0.0
NCC(=O)CCC(O)=O,1.0
[H][C@](N)(C(O)=O)C(C)(C)S,0.0
CN(CCCl)CCCl,1.0
[Cl-].[Cl-].[223Ra++],1.0
CCCCCCCCCCCCCCCCOP([O-])(=O)OCC[N+](C)(C)C,0.0
[Na+].OCCCC([O-])=O,0.0
ON=O,0.0
[Ca++].[N-]=C=[N-],0.0
NC(=O)NO,1.0
[K+].[K+].[K+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,0.0
CS(=O)(=O)OCCCCOS(C)(=O)=O,1.0
[Cl-].[Cl-].[Cl-].[Cr+3],0.0
[Na+].[Cl-],0.0
[Na+].[Na+].[Na+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,0.0
[99Tc+4].[O-]P([O-])(=O)OP([O-])([O-])=O,0.0
CCOP(=O)(OCC)SCC[N+](C)(C)C,0.0
[K+].[K+].[K+].[K+].[K+].[Bi+3].[O-]C(=O)CC([O-])(CC([O-])=O)C([O-])=O.[O-]C(=O)CC([O-])(CC([O-])=O)C([O-])=O,0.0
[C],0.0
[Mg++].[Mg++].[O-][Si](=O)O[Si]([O-])([O-])O[Si]([O-])=O,0.0
NC(CCC(O)=O)C=C,0.0
[131I-],0.0
O=[Zn],0.0
[F-].[Na+],0.0
CC(C)(CO)[C@@H](O)C(=O)NCCCO,0.0
OP(O)(O)=O,0.0
[Mg++].[Cl-].[Cl-],0.0
[K+].OP(O)([O-])=O,0.0
[K+].[K+].OP([O-])([O-])=O,0.0
[K+].[O-][Cl](=O)(=O)=O,0.0
[123I-],0.0
[Na+].OP(O)([O-])=O,0.0
OCC(O)CO,0.0
[K+].CC(O)C([O-])=O,0.0
[Na+].[Na+].[O-]P([O-])(F)=O,0.0
OS(O)(=O)=S,0.0
N.[Fe+3].OC(=O)CC(O)(CC(O)=O)C(O)=O,0.0
[H]C(=O)[C@H]([18F])[C@@H](O)[C@H](O)[C@H](O)CO,0.0
O=[Ti]=O,0.0
[Na+].[Na+].OCC(O)COP([O-])([O-])=O,0.0
C[N+](C)([11CH3])CCO,0.0
NCCCNCCSP(O)(O)=O,1.0
Cl[Al](Cl)Cl,0.0
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(O)(=O)=O,0.0
[Ca++].[Ca++].[Ca++].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O.OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,0.0
[Mg++].[Mg++].[Mg++].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O.OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,0.0
[Na+].[I-],0.0
[Cr],0.0
[H]C(Cl)(Br)C(F)(F)F,0.0
[OH-].[K+],0.0
CCOC(=O)[C@H](CS)NCCN[C@@H](CS)C(=O)OCC,0.0
CCOCCP(CCOCC)CCP(CCOCC)CCOCC,0.0
[Mg++].NCC([O-])=O.NCC([O-])=O,0.0
O=[As]O[As]=O,1.0
C[C@@H]([C@H](O)C1=CC=CC=C1)N(C)C,0.0
N[C@@H](CC1=CC=CC=C1)C(O)=O,0.0
CCN[C@@H](C)CC1=CC=CC(=C1)C(F)(F)F,0.0
CCCC(=O)NC1=CC=C(OCC(O)CNC(C)C)C(=C1)C(C)=O,0.0
N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,0.0
[Na+].CC[Hg]SC1=CC=CC=C1C([O-])=O,0.0
CC(C)NCC(O)COC1=C(C)C(C)=C(OC(C)=O)C(C)=C1,0.0
COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,0.0
N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O,0.0
C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,0.0
C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CCCCN,0.0
COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,0.0
CN\C(NCC1=CC=CC=C1)=N/C,0.0
CC(C)NCC(O)COC1=CC=C(NC(C)=O)C=C1,0.0
CN[C@@H](C)[C@H](O)C1=CC=CC=C1,0.0
NC1=CC=C(C=C1)S(N)(=O)=O,0.0
CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I,0.0
CC(C)(C)NCC(O)C1=CC(Cl)=C(N)C(Cl)=C1,0.0
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,0.0
OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,1.0
CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,0.0
CC(=O)NC1=CC=C(O)C=C1,0.0
CN(CC#C)CC1=CC=CC=C1,0.0
NC1=CC=C(C=C1)C(=O)NCC(O)=O,0.0
NC1=CC=C(C=C1)C(O)=O,0.0
ONC(=O)CCCCCCC(=O)NC1=CC=CC=C1,1.0
OC1=CC=CC=C1,0.0
CC(C)CC1=CC=C(C=C1)[C@@H](C)C(=O)NS(C)(=O)=O,1.0
S=C=NCCC1=CC=CC=C1,1.0
CC(N)COC1=C(C)C=CC=C1C,0.0
C[C@H](N)C1=CC=C(C=C1)[C@H](O)CNC(C)(C)C,1.0
NC(CO)C(=O)NNCC1=C(O)C(O)=C(O)C=C1,0.0
[H][C@@](C)(N)[C@]([H])(O)C1=CC=CC=C1,0.0
COC1=C(OCC(O)COC(N)=O)C=CC=C1,0.0
OC(=O)CC1=CC(Cl)=C(OCC=C)C=C1,0.0
OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O,0.0
CNCC(O)C1=CC(OC(=O)C(C)(C)C)=C(OC(=O)C(C)(C)C)C=C1,0.0
CCN(CC)C(=O)NC1=CC=C(OCC(O)CNC(C)(C)C)C(=C1)C(C)=O,0.0
OCC1=C(Cl)C=C(Cl)C=C1,0.0
[I-].[I-].[I-].CC[N+](CC)(CC)CCOC1=CC=CC(OCC[N+](CC)(CC)CC)=C1OCC[N+](CC)(CC)CC,0.0
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,0.0
CC1=CC=CC=C1OCC(O)CO,0.0
CNC(C)CC1=CC=CC=C1OC,0.0
CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,1.0
N[C@@H](CCC(=O)N[C@@H](CS(=O)(=O)CCOP(=O)(N(CCCl)CCCl)N(CCCl)CCCl)C(=O)N[C@@H](C(O)=O)C1=CC=CC=C1)C(O)=O,1.0
N[C@@H](CC1=CC(O)=C(O)C=C1[18F])C(O)=O,0.0
O=C\C=C\C1=CC=CC=C1,0.0
OC\C=C\C1=CC=CC=C1,0.0
CCNC(C)CC1=CC=CC(=C1)C(F)(F)F,0.0
N[C@@H](COC(N)=O)CC1=CC=CC=C1,0.0
C[N+](C)(C)CCOP([O-])(=O)OCCCCCCCCCCCCCCCCCCC1=CC=C([131I])C=C1,1.0
CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,0.0
N[C@H](CC1=CC=C(OC[18F])C=C1)C(O)=O,1.0
N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O,0.0
NC(N)=NCC1=CC(I)=CC=C1,0.0
CC(C)C1=CC=CC(C(C)C)=C1OCOP(O)(O)=O,0.0
CCN(CC)CCOC(=O)C1=CC=C(N)C=C1,0.0
COC1=CC(C(O)C(C)N)=C(OC)C=C1,0.0
OCC1=CC=CC=C1,0.0
C[C@](N)(CC1=CC=C(O)C=C1)C(O)=O,0.0
NCC1=CC=C(C=C1)S(N)(=O)=O,0.0
ClC1=CC(Cl)=C(Cl)C=C1OCC#CI,0.0
CCCCCCCCCC1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1,0.0
OC(=O)CCCC1=CC=CC=C1,1.0
O[C@@H]([C@@H](COC(=O)CCC(O)=O)NC(=O)C(Cl)Cl)C1=CC=C(C=C1)[N+]([O-])=O,0.0
CC(C)C1=CC=CC(C(C)C)=C1O,0.0
NC(=O)C1=CC=CC=C1O,0.0
CN[C@@H](C)[C@@H](O)C1=CC=CC=C1,0.0
OCC(O)COC1=CC=C(Cl)C=C1,0.0
C\C(O)=C(/C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F,0.0
NC(=N)NC(=N)NCCC1=CC=CC=C1,0.0
COCCCOC1=C(OC)C=CC(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)=C1,0.0
CC(=O)OC1=CC=CC=C1C(O)=O,0.0
NC(=O)OCC(COC(N)=O)C1=CC=CC=C1,0.0
C[C@](N)(CC1=CC=C(O)C(O)=C1)C(O)=O,0.0
CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C,0.0
CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C,0.0
CC[N+](C)(C)C1=CC(O)=CC=C1,0.0
[Tc].CC1=CC(C)=C(Br)C(C)=C1NC(=O)CN(CC(O)=O)CC(O)=O,0.0
NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl,0.0
CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O,0.0
CC(C)C1=C(OCCN(C)C)C=C(C)C(OC(C)=O)=C1,0.0
